"","","","","",""
"21P31A0218","R2031021","POWER SYSTEMS-II","22","F","0"
"21P31A0218","R2031022","POWER ELECTRONICS","22","C","3"
"21P31A0218","R2031023","CONTROL SYSTEMS","21","C","3"
"21P31A0218","R2031024","CONTROL SYSTEMS LAB","14","A","1.5"
"21P31A0218","R2031025","POWER ELECTRONICS LAB","15","A+","1.5"
"21P31A0218","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0218","R2031027","ENVIRONMENTAL SCIENCE","27","COMPLE","0"
"21P31A0218","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0218","R203102B","UTILIZATION OF ELECTRICAL ENERGY","22","B","3"
"21P31A0218","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","19","C","3"
"21P31A0219","R2031021","POWER SYSTEMS-II","14","F","0"
"21P31A0219","R2031022","POWER ELECTRONICS","18","F","0"
"21P31A0219","R2031023","CONTROL SYSTEMS","18","F","0"
"21P31A0219","R2031024","CONTROL SYSTEMS LAB","9","ABSENT","0"
"21P31A0219","R2031025","POWER ELECTRONICS LAB","8","ABSENT","0"
"21P31A0219","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","ABSENT","0"
"21P31A0219","R2031027","ENVIRONMENTAL SCIENCE","24","COMPLE","0"
"21P31A0219","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","ABSENT","0"
"21P31A0219","R203102B","UTILIZATION OF ELECTRICAL ENERGY","19","F","0"
"21P31A0219","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","18","F","0"
"21P31A0220","R2031021","POWER SYSTEMS-II","19","F","0"
"21P31A0220","R2031022","POWER ELECTRONICS","19","F","0"
"21P31A0220","R2031023","CONTROL SYSTEMS","20","F","0"
"21P31A0220","R2031024","CONTROL SYSTEMS LAB","13","B","1.5"
"21P31A0220","R2031025","POWER ELECTRONICS LAB","10","A","1.5"
"21P31A0220","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A+","2"
"21P31A0220","R2031027","ENVIRONMENTAL SCIENCE","27","COMPLE","0"
"21P31A0220","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0220","R203102B","UTILIZATION OF ELECTRICAL ENERGY","21","F","0"
"21P31A0220","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","17","F","0"
"21P31A0221","R2031021","POWER SYSTEMS-II","24","A","3"
"21P31A0221","R2031022","POWER ELECTRONICS","26","C","3"
"21P31A0221","R2031023","CONTROL SYSTEMS","24","A","3"
"21P31A0221","R2031024","CONTROL SYSTEMS LAB","15","A+","1.5"
"21P31A0221","R2031025","POWER ELECTRONICS LAB","15","A+","1.5"
"21P31A0221","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0221","R2031027","ENVIRONMENTAL SCIENCE","28","COMPLE","0"
"21P31A0221","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0221","R203102B","UTILIZATION OF ELECTRICAL ENERGY","22","C","3"
"21P31A0221","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","24","D","3"
"21P31A0222","R2031021","POWER SYSTEMS-II","26","C","3"
"21P31A0222","R2031022","POWER ELECTRONICS","23","C","3"
"21P31A0222","R2031023","CONTROL SYSTEMS","23","D","3"
"21P31A0222","R2031024","CONTROL SYSTEMS LAB","14","A","1.5"
"21P31A0222","R2031025","POWER ELECTRONICS LAB","15","A+","1.5"
"21P31A0222","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A+","2"
"21P31A0222","R2031027","ENVIRONMENTAL SCIENCE","28","COMPLE","0"
"21P31A0222","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0222","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","C","3"
"21P31A0222","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","23","C","3"
"21P31A0223","R2031021","POWER SYSTEMS-II","23","C","3"
"21P31A0223","R2031022","POWER ELECTRONICS","25","B","3"
"21P31A0223","R2031023","CONTROL SYSTEMS","24","C","3"
"21P31A0223","R2031024","CONTROL SYSTEMS LAB","15","A+","1.5"
"21P31A0223","R2031025","POWER ELECTRONICS LAB","14","A+","1.5"
"21P31A0223","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0223","R2031027","ENVIRONMENTAL SCIENCE","27","COMPLE","0"
"21P31A0223","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0223","R203102B","UTILIZATION OF ELECTRICAL ENERGY","25","C","3"
"21P31A0223","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","24","C","3"
"21P31A0224","R2031021","POWER SYSTEMS-II","23","B","3"
"21P31A0224","R2031022","POWER ELECTRONICS","23","C","3"
"21P31A0224","R2031023","CONTROL SYSTEMS","23","B","3"
"21P31A0224","R2031024","CONTROL SYSTEMS LAB","15","A+","1.5"
"21P31A0224","R2031025","POWER ELECTRONICS LAB","15","A+","1.5"
"21P31A0224","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0224","R2031027","ENVIRONMENTAL SCIENCE","27","COMPLE","0"
"21P31A0224","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0224","R203102B","UTILIZATION OF ELECTRICAL ENERGY","26","C","3"
"21P31A0224","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","24","C","3"
"21P31A0225","R2031021","POWER SYSTEMS-II","22","F","0"
"21P31A0225","R2031022","POWER ELECTRONICS","22","D","3"
"21P31A0225","R2031023","CONTROL SYSTEMS","22","D","3"
"21P31A0225","R2031024","CONTROL SYSTEMS LAB","14","A+","1.5"
"21P31A0225","R2031025","POWER ELECTRONICS LAB","14","A+","1.5"
"21P31A0225","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0225","R2031027","ENVIRONMENTAL SCIENCE","27","COMPLE","0"
"21P31A0225","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0225","R203102B","UTILIZATION OF ELECTRICAL ENERGY","22","D","3"
"21P31A0225","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","24","D","3"
"21P31A0226","R2031021","POWER SYSTEMS-II","20","D","3"
"21P31A0226","R2031022","POWER ELECTRONICS","23","C","3"
"21P31A0226","R2031023","CONTROL SYSTEMS","25","C","3"
"21P31A0226","R2031024","CONTROL SYSTEMS LAB","14","A","1.5"
"21P31A0226","R2031025","POWER ELECTRONICS LAB","12","A","1.5"
"21P31A0226","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0226","R2031027","ENVIRONMENTAL SCIENCE","25","COMPLE","0"
"21P31A0226","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0226","R203102B","UTILIZATION OF ELECTRICAL ENERGY","22","C","3"
"21P31A0226","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","19","C","3"
"21P31A0227","R2031021","POWER SYSTEMS-II","20","E","3"
"21P31A0227","R2031022","POWER ELECTRONICS","21","F","0"
"21P31A0227","R2031023","CONTROL SYSTEMS","23","F","0"
"21P31A0227","R2031024","CONTROL SYSTEMS LAB","13","A","1.5"
"21P31A0227","R2031025","POWER ELECTRONICS LAB","13","A","1.5"
"21P31A0227","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A+","2"
"21P31A0227","R2031027","ENVIRONMENTAL SCIENCE","25","COMPLE","0"
"21P31A0227","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0227","R203102B","UTILIZATION OF ELECTRICAL ENERGY","22","E","3"
"21P31A0227","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","18","F","0"
"21P31A0228","R2031021","POWER SYSTEMS-II","23","C","3"
"21P31A0228","R2031022","POWER ELECTRONICS","23","D","3"
"21P31A0228","R2031023","CONTROL SYSTEMS","23","D","3"
"21P31A0228","R2031024","CONTROL SYSTEMS LAB","14","A+","1.5"
"21P31A0228","R2031025","POWER ELECTRONICS LAB","12","A","1.5"
"21P31A0228","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0228","R2031027","ENVIRONMENTAL SCIENCE","26","COMPLE","0"
"21P31A0228","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0228","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","C","3"
"21P31A0228","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","22","D","3"
"21P31A0229","R2031021","POWER SYSTEMS-II","19","C","3"
"21P31A0229","R2031022","POWER ELECTRONICS","19","E","3"
"21P31A0229","R2031023","CONTROL SYSTEMS","21","F","0"
"21P31A0229","R2031024","CONTROL SYSTEMS LAB","13","B","1.5"
"21P31A0229","R2031025","POWER ELECTRONICS LAB","11","A","1.5"
"21P31A0229","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0229","R2031027","ENVIRONMENTAL SCIENCE","27","COMPLE","0"
"21P31A0229","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0229","R203102B","UTILIZATION OF ELECTRICAL ENERGY","19","D","3"
"21P31A0229","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","17","D","3"
"21P31A0230","R2031021","POWER SYSTEMS-II","24","C","3"
"21P31A0230","R2031022","POWER ELECTRONICS","26","B","3"
"21P31A0230","R2031023","CONTROL SYSTEMS","26","B","3"
"21P31A0230","R2031024","CONTROL SYSTEMS LAB","14","A+","1.5"
"21P31A0230","R2031025","POWER ELECTRONICS LAB","15","A+","1.5"
"21P31A0230","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0230","R2031027","ENVIRONMENTAL SCIENCE","28","COMPLE","0"
"21P31A0230","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0230","R203102B","UTILIZATION OF ELECTRICAL ENERGY","26","B","3"
"21P31A0230","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","25","B","3"
"21P31A0231","R2031021","POWER SYSTEMS-II","21","E","3"
"21P31A0231","R2031022","POWER ELECTRONICS","23","D","3"
"21P31A0231","R2031023","CONTROL SYSTEMS","23","E","3"
"21P31A0231","R2031024","CONTROL SYSTEMS LAB","14","A+","1.5"
"21P31A0231","R2031025","POWER ELECTRONICS LAB","14","A+","1.5"
"21P31A0231","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0231","R2031027","ENVIRONMENTAL SCIENCE","27","COMPLE","0"
"21P31A0231","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0231","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","D","3"
"21P31A0231","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","22","D","3"
"21P31A0232","R2031021","POWER SYSTEMS-II","23","B","3"
"21P31A0232","R2031022","POWER ELECTRONICS","25","C","3"
"21P31A0232","R2031023","CONTROL SYSTEMS","26","B","3"
"21P31A0232","R2031024","CONTROL SYSTEMS LAB","15","A+","1.5"
"21P31A0232","R2031025","POWER ELECTRONICS LAB","14","A+","1.5"
"21P31A0232","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0232","R2031027","ENVIRONMENTAL SCIENCE","25","COMPLE","0"
"21P31A0232","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0232","R203102B","UTILIZATION OF ELECTRICAL ENERGY","24","A","3"
"21P31A0232","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","24","C","3"
"21P31A0233","R2031021","POWER SYSTEMS-II","23","C","3"
"21P31A0233","R2031022","POWER ELECTRONICS","25","C","3"
"21P31A0233","R2031023","CONTROL SYSTEMS","23","B","3"
"21P31A0233","R2031024","CONTROL SYSTEMS LAB","15","A+","1.5"
"21P31A0233","R2031025","POWER ELECTRONICS LAB","13","A+","1.5"
"21P31A0233","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0233","R2031027","ENVIRONMENTAL SCIENCE","25","COMPLE","0"
"21P31A0233","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0233","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","C","3"
"21P31A0233","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","23","D","3"
"21P31A0234","R2031021","POWER SYSTEMS-II","20","F","0"
"21P31A0234","R2031022","POWER ELECTRONICS","23","D","3"
"21P31A0234","R2031023","CONTROL SYSTEMS","22","D","3"
"21P31A0234","R2031024","CONTROL SYSTEMS LAB","12","A","1.5"
"21P31A0234","R2031025","POWER ELECTRONICS LAB","12","A","1.5"
"21P31A0234","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0234","R2031027","ENVIRONMENTAL SCIENCE","30","COMPLE","0"
"21P31A0234","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A","1.5"
"21P31A0234","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","C","3"
"21P31A0234","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","21","C","3"
"21P31A0235","R2031021","POWER SYSTEMS-II","23","C","3"
"21P31A0235","R2031022","POWER ELECTRONICS","22","D","3"
"21P31A0235","R2031023","CONTROL SYSTEMS","24","C","3"
"21P31A0235","R2031024","CONTROL SYSTEMS LAB","15","A+","1.5"
"21P31A0235","R2031025","POWER ELECTRONICS LAB","14","A+","1.5"
"21P31A0235","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0235","R2031027","ENVIRONMENTAL SCIENCE","26","COMPLE","0"
"21P31A0235","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0235","R203102B","UTILIZATION OF ELECTRICAL ENERGY","24","B","3"
"21P31A0235","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","24","B","3"
"21P31A0236","R2031021","POWER SYSTEMS-II","24","C","3"
"21P31A0236","R2031022","POWER ELECTRONICS","25","D","3"
"21P31A0236","R2031023","CONTROL SYSTEMS","24","D","3"
"21P31A0236","R2031024","CONTROL SYSTEMS LAB","13","A+","1.5"
"21P31A0236","R2031025","POWER ELECTRONICS LAB","12","A","1.5"
"21P31A0236","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0236","R2031027","ENVIRONMENTAL SCIENCE","27","COMPLE","0"
"21P31A0236","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0236","R203102B","UTILIZATION OF ELECTRICAL ENERGY","24","D","3"
"21P31A0236","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","23","C","3"
"21P31A0237","R2031021","POWER SYSTEMS-II","22","B","3"
"21P31A0237","R2031022","POWER ELECTRONICS","24","D","3"
"21P31A0237","R2031023","CONTROL SYSTEMS","22","C","3"
"21P31A0237","R2031024","CONTROL SYSTEMS LAB","13","A+","1.5"
"21P31A0237","R2031025","POWER ELECTRONICS LAB","15","A+","1.5"
"21P31A0237","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0237","R2031027","ENVIRONMENTAL SCIENCE","26","COMPLE","0"
"21P31A0237","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0237","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","C","3"
"21P31A0237","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","23","E","3"
"21P31A0238","R2031021","POWER SYSTEMS-II","21","D","3"
"21P31A0238","R2031022","POWER ELECTRONICS","24","C","3"
"21P31A0238","R2031023","CONTROL SYSTEMS","23","C","3"
"21P31A0238","R2031024","CONTROL SYSTEMS LAB","14","A","1.5"
"21P31A0238","R2031025","POWER ELECTRONICS LAB","13","A","1.5"
"21P31A0238","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0238","R2031027","ENVIRONMENTAL SCIENCE","25","COMPLE","0"
"21P31A0238","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0238","R203102B","UTILIZATION OF ELECTRICAL ENERGY","24","C","3"
"21P31A0238","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","21","B","3"
"21P31A0239","R2031021","POWER SYSTEMS-II","23","B","3"
"21P31A0239","R2031022","POWER ELECTRONICS","25","D","3"
"21P31A0239","R2031023","CONTROL SYSTEMS","23","D","3"
"21P31A0239","R2031024","CONTROL SYSTEMS LAB","14","A","1.5"
"21P31A0239","R2031025","POWER ELECTRONICS LAB","14","A+","1.5"
"21P31A0239","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0239","R2031027","ENVIRONMENTAL SCIENCE","27","COMPLE","0"
"21P31A0239","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0239","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","D","3"
"21P31A0239","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","23","C","3"
"21P31A0241","R2031021","POWER SYSTEMS-II","21","C","3"
"21P31A0241","R2031022","POWER ELECTRONICS","22","C","3"
"21P31A0241","R2031023","CONTROL SYSTEMS","24","C","3"
"21P31A0241","R2031024","CONTROL SYSTEMS LAB","14","A","1.5"
"21P31A0241","R2031025","POWER ELECTRONICS LAB","14","A+","1.5"
"21P31A0241","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0241","R2031027","ENVIRONMENTAL SCIENCE","26","COMPLE","0"
"21P31A0241","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0241","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","C","3"
"21P31A0241","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","20","D","3"
"21P31A0242","R2031021","POWER SYSTEMS-II","21","B","3"
"21P31A0242","R2031022","POWER ELECTRONICS","23","C","3"
"21P31A0242","R2031023","CONTROL SYSTEMS","24","B","3"
"21P31A0242","R2031024","CONTROL SYSTEMS LAB","15","A+","1.5"
"21P31A0242","R2031025","POWER ELECTRONICS LAB","12","A","1.5"
"21P31A0242","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0242","R2031027","ENVIRONMENTAL SCIENCE","28","COMPLE","0"
"21P31A0242","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0242","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","C","3"
"21P31A0242","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","23","B","3"
"21P31A0243","R2031021","POWER SYSTEMS-II","20","C","3"
"21P31A0243","R2031022","POWER ELECTRONICS","21","D","3"
"21P31A0243","R2031023","CONTROL SYSTEMS","23","D","3"
"21P31A0243","R2031024","CONTROL SYSTEMS LAB","8","B","1.5"
"21P31A0243","R2031025","POWER ELECTRONICS LAB","12","A","1.5"
"21P31A0243","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0243","R2031027","ENVIRONMENTAL SCIENCE","26","COMPLE","0"
"21P31A0243","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0243","R203102B","UTILIZATION OF ELECTRICAL ENERGY","24","D","3"
"21P31A0243","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","21","D","3"
"21P31A0244","R2031021","POWER SYSTEMS-II","20","F","0"
"21P31A0244","R2031022","POWER ELECTRONICS","19","F","0"
"21P31A0244","R2031023","CONTROL SYSTEMS","21","E","3"
"21P31A0244","R2031024","CONTROL SYSTEMS LAB","6","D","1.5"
"21P31A0244","R2031025","POWER ELECTRONICS LAB","11","B","1.5"
"21P31A0244","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0244","R2031027","ENVIRONMENTAL SCIENCE","25","COMPLE","0"
"21P31A0244","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A","1.5"
"21P31A0244","R203102B","UTILIZATION OF ELECTRICAL ENERGY","21","E","3"
"21P31A0244","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","18","F","0"
"21P31A0245","R2031021","POWER SYSTEMS-II","22","B","3"
"21P31A0245","R2031022","POWER ELECTRONICS","23","C","3"
"21P31A0245","R2031023","CONTROL SYSTEMS","23","B","3"
"21P31A0245","R2031024","CONTROL SYSTEMS LAB","15","A+","1.5"
"21P31A0245","R2031025","POWER ELECTRONICS LAB","14","A+","1.5"
"21P31A0245","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0245","R2031027","ENVIRONMENTAL SCIENCE","27","COMPLE","0"
"21P31A0245","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0245","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","C","3"
"21P31A0245","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","23","C","3"
"21P31A0247","R2031021","POWER SYSTEMS-II","21","D","3"
"21P31A0247","R2031022","POWER ELECTRONICS","23","D","3"
"21P31A0247","R2031023","CONTROL SYSTEMS","23","D","3"
"21P31A0247","R2031024","CONTROL SYSTEMS LAB","15","A+","1.5"
"21P31A0247","R2031025","POWER ELECTRONICS LAB","13","A+","1.5"
"21P31A0247","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A+","2"
"21P31A0247","R2031027","ENVIRONMENTAL SCIENCE","29","COMPLE","0"
"21P31A0247","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0247","R203102B","UTILIZATION OF ELECTRICAL ENERGY","24","C","3"
"21P31A0247","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","23","D","3"
"21P31A0248","R2031021","POWER SYSTEMS-II","21","F","0"
"21P31A0248","R2031022","POWER ELECTRONICS","19","E","3"
"21P31A0248","R2031023","CONTROL SYSTEMS","23","D","3"
"21P31A0248","R2031024","CONTROL SYSTEMS LAB","10","B","1.5"
"21P31A0248","R2031025","POWER ELECTRONICS LAB","14","A","1.5"
"21P31A0248","R2031026","SOFT SKILL COURSE:EMPLOYABILITY SKILLS","0","A","2"
"21P31A0248","R2031027","ENVIRONMENTAL SCIENCE","26","COMPLE","0"
"21P31A0248","R2031028","SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A","0","A+","1.5"
"21P31A0248","R203102B","UTILIZATION OF ELECTRICAL ENERGY","23","C","3"
"21P31A0248","R203105K","COMPUTER ORGANIZATION AND ARCHITECTURE","20","E","3"
"21P31A0301","R2031031","THERMAL ENGINEERING-II","15","F","0"
"21P31A0301","R2031032","DESIGN OF MACHINE MEMBERS-I","17","F","0"
"21P31A0301","R2031033","MACHINING, MACHINE TOOLS & METROLOGY","21","F","0"
"21P31A0301","R2031034","MACHINE TOOLS LAB","14","A+","1.5"
"21P31A0301","R2031035","THERMAL ENGINEERING LAB","13","A","1.5"
"21P31A0301","R2031036","ADVANCED COMMUNICATION SKILLS LAB","0","A+","2"
"21P31A0301","R2031037","PROFESSIONAL ETHICS AND HUMAN VALUES","24","COMPLE","0"
"21P31A0301","R2031038","EVALUATION OF SUMMER INTERNSHIP WHICH IS","0","A+","1.5"
"21P31A0301","R203103B","INDUSTRIAL ROBOTICS","23","E","3"
"21P31A0301","R203103H","OPERATIONS RESEARCH","24","E","3"
"21P31A0302","R2031031","THERMAL ENGINEERING-II","15","F","0"
"21P31A0302","R2031032","DESIGN OF MACHINE MEMBERS-I","17","E","3"
"21P31A0302","R2031033","MACHINING, MACHINE TOOLS & METROLOGY","19","F","0"
"21P31A0302","R2031034","MACHINE TOOLS LAB","13","A","1.5"
"21P31A0302","R2031035","THERMAL ENGINEERING LAB","13","A","1.5"
"21P31A0302","R2031036","ADVANCED COMMUNICATION SKILLS LAB","0","A+","2"
"21P31A0302","R2031037","PROFESSIONAL ETHICS AND HUMAN VALUES","23","COMPLE","0"
"21P31A0302","R2031038","EVALUATION OF SUMMER INTERNSHIP WHICH IS","0","A+","1.5"
"21P31A0302","R203103B","INDUSTRIAL ROBOTICS","22","F","0"
"21P31A0302","R203103H","OPERATIONS RESEARCH","23","F","0"
"21P31A0303","R2031031","THERMAL ENGINEERING-II","17","F","0"
"21P31A0303","R2031032","DESIGN OF MACHINE MEMBERS-I","17","F","0"
"21P31A0303","R2031033","MACHINING, MACHINE TOOLS & METROLOGY","20","F","0"
"21P31A0303","R2031034","MACHINE TOOLS LAB","13","A","1.5"
"21P31A0303","R2031035","THERMAL ENGINEERING LAB","13","A","1.5"
"21P31A0303","R2031036","ADVANCED COMMUNICATION SKILLS LAB","0","A+","2"
"21P31A0303","R2031037","PROFESSIONAL ETHICS AND HUMAN VALUES","21","COMPLE","0"
"21P31A0303","R2031038","EVALUATION OF SUMMER INTERNSHIP WHICH IS","0","A+","1.5"
"21P31A0303","R203103B","INDUSTRIAL ROBOTICS","21","F","0"
"21P31A0303","R203103H","OPERATIONS RESEARCH","21","F","0"
"21P31A0304","R2031031","THERMAL ENGINEERING-II","16","F","0"
"21P31A0304","R2031032","DESIGN OF MACHINE MEMBERS-I","17","F","0"
"21P31A0304","R2031033","MACHINING, MACHINE TOOLS & METROLOGY","20","F","0"
"21P31A0304","R2031034","MACHINE TOOLS LAB","14","A+","1.5"
"21P31A0304","R2031035","THERMAL ENGINEERING LAB","13","A","1.5"
"21P31A0304","R2031036","ADVANCED COMMUNICATION SKILLS LAB","0","B","2"
"21P31A0304","R2031037","PROFESSIONAL ETHICS AND HUMAN VALUES","22","COMPLE","0"
"21P31A0304","R2031038","EVALUATION OF SUMMER INTERNSHIP WHICH IS","0","A+","1.5"
"21P31A0304","R203103B","INDUSTRIAL ROBOTICS","23","E","3"
"21P31A0304","R203103H","OPERATIONS RESEARCH","22","E","3"
"21P31A0305","R2031031","THERMAL ENGINEERING-II","16","E","3"
"21P31A0305","R2031032","DESIGN OF MACHINE MEMBERS-I","22","F","0"
"21P31A0305","R2031033","MACHINING, MACHINE TOOLS & METROLOGY","23","F","0"
"21P31A0305","R2031034","MACHINE TOOLS LAB","13","A","1.5"
"21P31A0305","R2031035","THERMAL ENGINEERING LAB","13","A","1.5"
"21P31A0305","R2031036","ADVANCED COMMUNICATION SKILLS LAB","0","A+","2"
"21P31A0305","R2031037","PROFESSIONAL ETHICS AND HUMAN VALUES","27","COMPLE","0"
"21P31A0305","R2031038","EVALUATION OF SUMMER INTERNSHIP WHICH IS","0","A+","1.5"
"21P31A0305","R203103B","INDUSTRIAL ROBOTICS","23","F","0"
"21P31A0305","R203103H","OPERATIONS RESEARCH","21","F","0"
"21P31A0306","R2031031","THERMAL ENGINEERING-II","16","F","0"
"21P31A0306","R2031032","DESIGN OF MACHINE MEMBERS-I","18","F","0"
